SongID,Title,SingerID,AlbumID,Title,ReleaseDate,SingerID,SingerID,StageName,RealName,NationalityID,DebutYear,NationalityID,CountryName,MusicStreamers
61,WHERE SHE GOES,1,null,null,null,null,null,null,null,null,null,null,null,null
62,THUNDER Y LIGHTNING,1,null,null,null,null,null,null,null,null,null,null,null,null
63,PERRO NEGRO,1,null,null,null,null,null,null,null,null,null,null,null,null
64,EUROPA :(,1,null,null,null,null,null,null,null,null,null,null,null,null
65,ACHO PR,1,null,null,null,null,null,null,null,null,null,null,null,null
66,UN PREVIEW,1,null,null,null,null,null,null,null,null,null,null,null,null
67,Soledad,3,null,null,null,null,null,null,null,null,null,null,null,null
68,Guaya Guaya,3,null,null,null,null,null,null,null,null,null,null,null,null
69,Perdido En Tus Ojos,3,null,null,null,null,null,null,null,null,null,null,null,null
70,Callejero,3,null,null,null,null,null,null,null,null,null,null,null,null
71,En Lo Oscuro,3,null,null,null,null,null,null,null,null,null,null,null,null
72,Olvidar Que Somos Amigos,3,null,null,null,null,null,null,null,null,null,null,null,null
73,Te Recordaré Bailando,3,null,null,null,null,null,null,null,null,null,null,null,null
74,Dobla Rodilla,3,null,null,null,null,null,null,null,null,null,null,null,null
75,Tírate Al Medio,3,null,null,null,null,null,null,null,null,null,null,null,null
76,Bailando Bajo El Sol,3,null,null,null,null,null,null,null,null,null,null,null,null
77,Sandunga,3,null,null,null,null,null,null,null,null,null,null,null,null
78,Yo Soy De Aqui,3,null,null,null,null,null,null,null,null,null,null,null,null
79,Vibras,4,null,null,null,null,null,null,null,null,null,null,null,null
80,Mi Gente,4,null,null,null,null,null,null,null,null,null,null,null,null
81,Ambiente,4,null,null,null,null,null,null,null,null,null,null,null,null
82,Cuando Tú Quieras,4,null,null,null,null,null,null,null,null,null,null,null,null
83,No Es Justo,4,null,null,null,null,null,null,null,null,null,null,null,null
84,Ahora,4,null,null,null,null,null,null,null,null,null,null,null,null
85,Brillo,4,null,null,null,null,null,null,null,null,null,null,null,null
86,En Mí (Interlude),4,null,null,null,null,null,null,null,null,null,null,null,null
87,En Mí,4,null,null,null,null,null,null,null,null,null,null,null,null
88,Peligrosa,4,null,null,null,null,null,null,null,null,null,null,null,null
89,Noches Pasadas,4,null,null,null,null,null,null,null,null,null,null,null,null
90,Tu Verdad,4,null,null,null,null,null,null,null,null,null,null,null,null
91,Dónde Estarás,4,null,null,null,null,null,null,null,null,null,null,null,null
92,Machika,4,null,null,null,null,null,null,null,null,null,null,null,null
93,NI BIEN NI MAL,1,null,null,null,null,null,null,null,null,null,null,null,null
94,200 Mph,1,null,null,null,null,null,null,null,null,null,null,null,null
95,¿Quien Tu Eres?,1,null,null,null,null,null,null,null,null,null,null,null,null
96,Caro,1,null,null,null,null,null,null,null,null,null,null,null,null
97,Tenemos Que Hablar,1,null,null,null,null,null,null,null,null,null,null,null,null
98,Otra Noche en Miami,1,null,null,null,null,null,null,null,null,null,null,null,null
99,Ser Bichote,1,null,null,null,null,null,null,null,null,null,null,null,null
100,Si Estuviésemos Juntos,1,null,null,null,null,null,null,null,null,null,null,null,null
101,Solo de Mi,1,null,null,null,null,null,null,null,null,null,null,null,null
102,Cuando Perriabas,1,null,null,null,null,null,null,null,null,null,null,null,null
103,La Romana,1,null,null,null,null,null,null,null,null,null,null,null,null
104,Como Antes,1,null,null,null,null,null,null,null,null,null,null,null,null
105,RLNDT,1,null,null,null,null,null,null,null,null,null,null,null,null
106,Estamos Bien,1,null,null,null,null,null,null,null,null,null,null,null,null
107,MIA,1,null,null,null,null,null,null,null,null,null,null,null,null
108,MIENTRAS ME CURO DEL CORA,5,null,null,null,null,null,null,null,null,null,null,null,null
